INSERT INTO archer VALUES ('100', 'Aubrey', 'Anderson', 19, 'Female');
INSERT INTO archer VALUES ('101', 'Christopher', 'Hernandez', 18, 'Male');
INSERT INTO archer VALUES ('102', 'Matthew', 'King', 60, 'Female');
INSERT INTO archer VALUES ('103', 'Daniel', 'Baker', 64, 'Female');
INSERT INTO archer VALUES ('104', 'Elizabeth', 'Nelson', 58, 'Female');
INSERT INTO archer VALUES ('105', 'Daniel', 'Adams', 54, 'Female');
INSERT INTO archer VALUES ('106', 'Olivia', 'Wilson', 49, 'Male');
INSERT INTO archer VALUES ('107', 'Alexander', 'Edwards', 62, 'Male');
INSERT INTO archer VALUES ('108', 'Lila', 'Young', 33, 'Male');
INSERT INTO archer VALUES ('109', 'Joshua', 'Wright', 50, 'Male');
INSERT INTO archer VALUES ('110', 'Amelia', 'Hernandez', 39, 'Male');
INSERT INTO archer VALUES ('111', 'Ethan', 'Garcia', 36, 'Female');
INSERT INTO archer VALUES ('112', 'William', 'Lopez', 20, 'Male');
INSERT INTO archer VALUES ('113', 'Jacob', 'Mitchell', 40, 'Female');
INSERT INTO archer VALUES ('114', 'Aubrey', 'Mitchell', 60, 'Male');
INSERT INTO archer VALUES ('115', 'Christopher', 'Baker', 38, 'Male');
INSERT INTO archer VALUES ('116', 'Emma', 'Martinez', 63, 'Female');
INSERT INTO archer VALUES ('117', 'Amelia', 'Lopez', 61, 'Female');
INSERT INTO archer VALUES ('118', 'Sophia', 'Gonzalez', 18, 'Female');
INSERT INTO archer VALUES ('119', 'Mia', 'Robinson', 57, 'Male');
INSERT INTO archer VALUES ('120', 'Brandon', 'Young', 40, 'Male');
INSERT INTO archer VALUES ('121', 'Avery', 'Hall', 45, 'Male');
INSERT INTO archer VALUES ('122', 'Addison', 'Hernandez', 51, 'Male');
INSERT INTO archer VALUES ('123', 'Grace', 'Robinson', 57, 'Female');
INSERT INTO archer VALUES ('124', 'Lila', 'Moore', 22, 'Male');
INSERT INTO archer VALUES ('125', 'Benjamin', 'Collins', 41, 'Female');
INSERT INTO archer VALUES ('126', 'Olivia', 'Taylor', 41, 'Female');
INSERT INTO archer VALUES ('127', 'Lila', 'Hernandez', 64, 'Female');
INSERT INTO archer VALUES ('128', 'Isabella', 'Phillips', 20, 'Female');
INSERT INTO archer VALUES ('129', 'Samuel', 'Nelson', 39, 'Female');
INSERT INTO archer VALUES ('130', 'Nathan', 'Nelson', 20, 'Male');
INSERT INTO archer VALUES ('131', 'Brandon', 'Walker', 26, 'Male');
INSERT INTO archer VALUES ('132', 'John', 'Harris', 56, 'Female');
INSERT INTO archer VALUES ('133', 'Amelia', 'Lee', 19, 'Male');
INSERT INTO archer VALUES ('134', 'Isabella', 'Young', 59, 'Female');
INSERT INTO archer VALUES ('135', 'Adam', 'Hill', 57, 'Male');
INSERT INTO archer VALUES ('136', 'William', 'Thomas', 32, 'Female');
INSERT INTO archer VALUES ('137', 'Ava', 'Rodriguez', 45, 'Female');
INSERT INTO archer VALUES ('138', 'Chloe', 'Lee', 63, 'Male');
INSERT INTO archer VALUES ('139', 'Joseph', 'Gonzalez', 30, 'Female');
INSERT INTO archer VALUES ('140', 'Joseph', 'Rodriguez', 59, 'Male');
INSERT INTO archer VALUES ('141', 'Natalie', 'Anderson', 30, 'Female');
INSERT INTO archer VALUES ('142', 'Isabella', 'Baker', 40, 'Male');
INSERT INTO archer VALUES ('143', 'Sarah', 'Brown', 30, 'Female');
INSERT INTO archer VALUES ('144', 'Avery', 'Moore', 31, 'Male');
INSERT INTO archer VALUES ('145', 'Joseph', 'King', 59, 'Female');
INSERT INTO archer VALUES ('146', 'Adam', 'Roberts', 36, 'Male');
INSERT INTO archer VALUES ('147', 'Andrew', 'Moore', 49, 'Female');
INSERT INTO archer VALUES ('148', 'Christopher', 'Gonzalez', 37, 'Male');
INSERT INTO archer VALUES ('149', 'Elizabeth', 'Collins', 40, 'Male');
INSERT INTO archer VALUES ('150', 'Emily', 'Baker', 18, 'Female');
INSERT INTO archer VALUES ('151', 'Christopher', 'Roberts', 60, 'Female');
INSERT INTO archer VALUES ('152', 'James', 'Baker', 29, 'Female');
INSERT INTO archer VALUES ('153', 'Anthony', 'Allen', 65, 'Male');
INSERT INTO archer VALUES ('154', 'Adam', 'Jones', 26, 'Male');
INSERT INTO archer VALUES ('155', 'Alexander', 'Wright', 31, 'Female');
INSERT INTO archer VALUES ('156', 'Harper', 'Williams', 55, 'Female');
INSERT INTO archer VALUES ('157', 'Sarah', 'Carter', 22, 'Female');
INSERT INTO archer VALUES ('158', 'Alexander', 'Mitchell', 59, 'Female');
INSERT INTO archer VALUES ('159', 'Abigail', 'Lewis', 60, 'Male');
INSERT INTO archer VALUES ('160', 'Ella', 'Hernandez', 21, 'Female');
INSERT INTO archer VALUES ('161', 'Sarah', 'White', 38, 'Female');
INSERT INTO archer VALUES ('162', 'Ava', 'Martinez', 43, 'Male');
INSERT INTO archer VALUES ('163', 'Dylan', 'Williams', 20, 'Female');
INSERT INTO archer VALUES ('164', 'Harper', 'Young', 59, 'Female');
INSERT INTO archer VALUES ('165', 'Hannah', 'Wright', 53, 'Female');
INSERT INTO archer VALUES ('166', 'Joseph', 'Wilson', 65, 'Female');
INSERT INTO archer VALUES ('167', 'Benjamin', 'Harris', 48, 'Male');
INSERT INTO archer VALUES ('168', 'Emma', 'Garcia', 27, 'Female');
INSERT INTO archer VALUES ('169', 'Jacob', 'Young', 38, 'Male');
INSERT INTO archer VALUES ('170', 'Elizabeth', 'Johnson', 18, 'Female');
INSERT INTO archer VALUES ('171', 'Emma', 'White', 55, 'Male');
INSERT INTO archer VALUES ('172', 'Emily', 'Wilson', 31, 'Male');
INSERT INTO archer VALUES ('173', 'Hannah', 'Turner', 55, 'Male');
INSERT INTO archer VALUES ('174', 'Olivia', 'Edwards', 47, 'Female');
INSERT INTO archer VALUES ('175', 'Samuel', 'Scott', 23, 'Male');
INSERT INTO archer VALUES ('176', 'Benjamin', 'Parker', 41, 'Male');
INSERT INTO archer VALUES ('177', 'Abigail', 'Davis', 48, 'Male');
INSERT INTO archer VALUES ('178', 'Aubrey', 'Edwards', 20, 'Female');
INSERT INTO archer VALUES ('179', 'Adam', 'Rodriguez', 50, 'Female');
INSERT INTO archer VALUES ('180', 'Addison', 'Jones', 35, 'Male');
INSERT INTO archer VALUES ('181', 'Hannah', 'Evans', 38, 'Female');
INSERT INTO archer VALUES ('182', 'Dylan', 'Taylor', 41, 'Male');
INSERT INTO archer VALUES ('183', 'David', 'Allen', 47, 'Female');
INSERT INTO archer VALUES ('184', 'Zoey', 'Hill', 58, 'Male');
INSERT INTO archer VALUES ('185', 'Chloe', 'Gonzalez', 34, 'Male');
INSERT INTO archer VALUES ('186', 'John', 'Scott', 54, 'Female');
INSERT INTO archer VALUES ('187', 'Chloe', 'Lee', 50, 'Female');
INSERT INTO archer VALUES ('188', 'Ryan', 'Walker', 30, 'Female');
INSERT INTO archer VALUES ('189', 'Joshua', 'Garcia', 59, 'Male');
INSERT INTO archer VALUES ('190', 'Sarah', 'Green', 29, 'Male');
INSERT INTO archer VALUES ('191', 'Aria', 'Collins', 34, 'Male');
INSERT INTO archer VALUES ('192', 'Matthew', 'Clark', 35, 'Female');
INSERT INTO archer VALUES ('193', 'Ryan', 'Allen', 31, 'Female');
INSERT INTO archer VALUES ('194', 'Aria', 'Green', 31, 'Female');
INSERT INTO archer VALUES ('195', 'Isabella', 'King', 64, 'Male');
INSERT INTO archer VALUES ('196', 'Nathan', 'Green', 64, 'Male');
